gross,genres,month,year,imdb_score
350034110,Thriller,3,2015,7.2
202351611,Action,6,2013,7
202351611,Adventure,6,2013,7
202351611,Horror,6,2013,7
202351611,Sci-Fi,6,2013,7
202351611,Thriller,6,2013,7
233914986,Action,5,2014,8
233914986,Adventure,5,2014,8
233914986,Fantasy,5,2014,8
233914986,Sci-Fi,5,2014,8
233914986,Thriller,5,2014,8
228756232,Action,5,2013,7.8
228756232,Adventure,5,2013,7.8
228756232,Sci-Fi,5,2013,7.8
65171860,Adventure,2,2013,6.3
65171860,Fantasy,2,2013,6.3
144812796,Drama,5,2013,7.3
144812796,Drama,5,2013,7.3
144812796,Romance,5,2013,7.3
144812796,Romance,5,2013,7.3
90755643,Action,5,2010,6.6
90755643,Adventure,5,2010,6.6
90755643,Fantasy,5,2010,6.6
90755643,Romance,5,2010,6.6
101785482,Action,7,2013,7
101785482,Adventure,7,2013,7
101785482,Sci-Fi,7,2013,7
352358779,Action,6,2011,6.3
352358779,Adventure,6,2011,6.3
352358779,Sci-Fi,6,2011,6.3
317011114,Action,5,2008,6.2
317011114,Adventure,5,2008,6.2
317011114,Fantasy,5,2008,6.2
123070338,Adventure,11,2015,6.8
123070338,Animation,11,2015,6.8
123070338,Comedy,11,2015,6.8
123070338,Family,11,2015,6.8
123070338,Fantasy,11,2015,6.8
237282182,Adventure,6,2012,7.2
237282182,Animation,6,2012,7.2
237282182,Comedy,6,2012,7.2
237282182,Family,6,2012,7.2
237282182,Fantasy,6,2012,7.2
130468626,Action,7,2016,7.5
130468626,Adventure,7,2016,7.5
130468626,Sci-Fi,7,2016,7.5
130468626,Thriller,7,2016,7.5
223806889,Adventure,6,2008,8.4
223806889,Animation,6,2008,8.4
223806889,Family,6,2008,8.4
223806889,Sci-Fi,6,2008,8.4
140080850,Action,7,2007,6.2
140080850,Comedy,7,2007,6.2
140080850,Crime,7,2007,6.2
140080850,Thriller,7,2007,6.2
166112167,Action,11,2009,5.8
166112167,Adventure,11,2009,5.8
166112167,Sci-Fi,11,2009,5.8
137850096,Animation,11,2009,6.8
137850096,Drama,11,2009,6.8
